Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.63     11.24     0.10                             dlib::entropy_decoder_model_kernel_5<257ul, dlib::entropy_decoder_kernel_2, 200000ul, 4ul>::exclude(unsigned short)
  0.59     11.33     0.09                             dlib::select(dlib::simd8f_bool const&, dlib::simd8f const&, dlib::simd8f const&)
  0.59     11.42     0.09                             dlib::operator<(dlib::simd4f const&, dlib::simd4f const&)
  0.53     11.50     0.08                             void dlib::set_image_size<float, dlib::memory_manager_stateless_kernel_1<char> >(dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> >&, long, long)
  0.53     11.58     0.08                             dlib::simd8f::load(float const*)
  0.50     11.65     0.08                             dlib::disable_if<dlib::ma::is_small_matrix<dlib::matrix_mul_scal_exp<dlib::matrix<float, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true>, void>, void>::type dlib::matrix_assign<dlib::matrix<float, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix_mul_scal_exp<dlib::matrix<float, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true> >(dlib::matrix<float, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>&, dlib::matrix_exp<dlib::matrix_mul_scal_exp<dlib::matrix<float, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true> > const&)
  0.50     11.73     0.08                             dlib::const_image_view<dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> > >::operator[](long) const
  0.46     11.80     0.07                             dlib::simd8i::simd8i(dlib::simd4i const&, dlib::simd4i const&)
  0.46     11.87     0.07                             dlib::operator+(dlib::simd4i const&, dlib::simd4i const&)
  0.46     11.94     0.07                             nlohmann::json_abi_v3_11_3::detail::serializer<nlohmann::json_abi_v3_11_3::basic_json<std::map, std::vector, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, bool, long, unsigned long, double, std::allocator, nlohmann::json_abi_v3_11_3::adl_serializer, std::vector<unsigned char, std::allocator<unsigned char> >, void> >::decode(unsigned char&, unsigned int&, unsigned char)
  0.46     12.01     0.07                             std::vector<dlib::processed_weight_vector<dlib::scan_fhog_pyramid<dlib::pyramid_down<6u>, dlib::default_fhog_feature_extractor> >, std::allocator<dlib::processed_weight_vector<dlib::scan_fhog_pyramid<dlib::pyramid_down<6u>, dlib::default_fhog_feature_extractor> > > >::size() const
  0.40     12.07     0.06                             dlib::simd8f_bool::simd8f_bool(dlib::simd4f_bool const&, dlib::simd4f_bool const&)
  0.40     12.13     0.06                             dlib::enable_if_c<dlib::pixel_traits<dlib::const_image_view<dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> > >::pixel_type>::rgb, void>::type dlib::impl_fhog::get_gradient<dlib::const_image_view<dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> > > >(int, int, dlib::const_image_view<dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> > > const&, dlib::simd8f&, dlib::simd8f&, dlib::simd8f&)
  0.40     12.19     0.06                             dlib::simd4f::operator long long __vector(2)() const
  0.40     12.25     0.06                             dlib::simd8f::store(float*) const
  0.40     12.31     0.06                             std::vector<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, std::allocator<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::operator[](unsigned long) const
  0.33     12.36     0.05                             dlib::simd4i::simd4i(long long __vector(2) const&)
  0.33     12.41     0.05                             dlib::array2d<dlib::matrix<float, 18l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::memory_manager_stateless_kernel_1<char> >::operator[](long)
  0.33     12.46     0.05                             dlib::simd8f_bool::low() const
  0.33     12.51     0.05                             dlib::simd4f::store(float*) const
  0.30     12.55     0.05                             dlib::select(dlib::simd4i const&, dlib::simd4i const&, dlib::simd4i const&)
  0.30     12.60     0.05                             dlib::simd4i::simd4i(int, int, int, int)
  0.26     12.64     0.04                             dlib::enable_if_c<dlib::is_rgb_image<dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> > >::value&&dlib::is_rgb_image<dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> > >::value, void>::type dlib::resize_image<dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> >, dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> > >(dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> > const&, dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> >&, dlib::interpolate_bilinear)
  0.26     12.68     0.04                             dlib::get_nc_helper<dlib::const_temp_matrix<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >, 1l>::get(dlib::const_temp_matrix<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > const&)
  0.26     12.72     0.04                             double const dlib::matrix_multiply_helper<dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, 2l, 2l>::eval<dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >(dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&, dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&, long, long)
  0.26     12.76     0.04                             dlib::sum(dlib::simd4f const&)
