Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.07     14.18     0.01                             void dlib::transform_image<dlib::const_sub_image_proxy<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >, dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::interpolate_bilinear, dlib::point_transform_affine, dlib::black_background>(dlib::const_sub_image_proxy<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > const&, dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>&, dlib::interpolate_bilinear const&, dlib::point_transform_affine const&, dlib::black_background const&, dlib::rectangle const&)
  0.07     14.19     0.01                             dlib::row_major_layout::layout<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, 1>::layout()
  0.07     14.20     0.01                             dlib::row_major_layout::layout<float, 1l, 1l, dlib::memory_manager_stateless_kernel_1<char>, 1>::layout()
  0.07     14.21     0.01                             dlib::row_major_layout::layout<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, 1>::layout()
  0.07     14.22     0.01                             dlib::row_major_layout::layout<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, 1>::operator()(unsigned long)
  0.07     14.23     0.01                             dlib::matrix_mul_scal_exp<dlib::matrix_add_exp<dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true>, dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true> >, true>::matrix_mul_scal_exp(dlib::matrix_add_exp<dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true>, dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true> > const&, double const&)
  0.07     14.24     0.01                             dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true>::matrix_mul_scal_exp(dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&, double const&)
  0.07     14.25     0.01                             dlib::enable_if_c<(!dlib::pixel_traits<int>::is_unsigned)&&(!dlib::pixel_traits<float>::is_unsigned), bool>::type dlib::assign_pixel_helpers::greater_or_equal_to_min<float, int>(int const&)
  0.07     14.26     0.01                             dlib::entropy_decoder_kernel_2::get_target(unsigned int)
  0.07     14.27     0.01                             dlib::entropy_decoder_model_kernel_5<257ul, dlib::entropy_decoder_kernel_2, 200000ul, 4ul>::something_is_excluded()
  0.07     14.28     0.01                             dlib::entropy_decoder_model_kernel_5<257ul, dlib::entropy_decoder_kernel_2, 200000ul, 4ul>::push(dlib::edmk5::node*, dlib::edmk5::node*)
  0.07     14.29     0.01                             dlib::cpu::add(dlib::tensor&, dlib::tensor const&, dlib::tensor const&)
  0.07     14.30     0.01                             dlib::lazy_disable_if<dlib::is_matrix<dlib::matrix_op<dlib::op_squared<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::type, void>, dlib::matrix_op<dlib::op_squared<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > >::type const dlib::sum<dlib::matrix_op<dlib::op_squared<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > >(dlib::matrix_exp<dlib::matrix_op<dlib::op_squared<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > const&)
  0.07     14.31     0.01                             void dlib::impl::extract_feature_pixel_values<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, float>(dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&, dlib::rectangle const&, dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&, dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&, std::vector<unsigned long, std::allocator<unsigned long> > const&, std::vector<dlib::vector<float, 2l>, std::allocator<dlib::vector<float, 2l> > > const&, std::vector<float, std::allocator<float> >&)
  0.07     14.32     0.01                             float dlib::impl::squared<float>(float const&)
  0.07     14.33     0.01                             _ZN4dlib5dimpl14subnet_wrapperINS_9add_layerINS_5relu_ENS2_INS_7affine_ENS2_INS_4con_ILl64ELl3ELl3ELi1ELi1ELi1ELi1EEENS_13add_tag_layerILm1ENS2_IS3_NS2_INS_9add_prev_INS_4tag1EEENS2_IS4_NS2_IS6_NS2_IS3_NS2_IS4_NS2_IS6_NS7_ILm1ENS2_IS3_NS2_ISA_NS2_IS4_NS2_IS6_NS2_IS3_NS2_IS4_NS2_IS6_NS7_ILm1ENS2_IS3_NS2_INS8_INS_4tag2EEENS2_INS_9avg_pool_ILl2ELl2ELi2ELi2ELi0ELi0EEENS_14add_skip_layerIS9_NS7_ILm2ENS2_IS4_NS2_IS6_NS2_IS3_NS2_IS4_NS2_INS5_ILl64ELl3ELl3ELi2ELi2ELi0ELi0EEENS7_ILm1ENS2_IS3_NS2_ISA_NS2_IS4_NS2_INS5_ILl32ELl3ELl3ELi1ELi1ELi1ELi1EEENS2_IS3_NS2_IS4_NS2_ISH_NS7_ILm1ENS2_IS3_NS2_ISA_NS2_IS4_NS2_ISH_NS2_IS3_NS2_IS4_NS2_ISH_NS7_ILm1ENS2_IS3_NS2_ISA_NS2_IS4_NS2_ISH_NS2_IS3_NS2_IS4_NS2_ISH_NS7_ILm1ENS2_INS_9max_pool_ILl3ELl3ELi2ELi2ELi0ELi0EEENS2_IS3_NS2_IS4_NS2_INS5_ILl32ELl7ELl7ELi2ELi2ELi0ELi0EEENS_21input_rgb_image_sizedILm150ELm150EEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEELb0EvEC1ERS29_j
  0.07     14.34     0.01                             _ZN4dlib5dimpl14subnet_wrapperINS_9add_layerINS_9add_prev_INS_4tag1EEENS2_INS_7affine_ENS2_INS_4con_ILl128ELl3ELl3ELi1ELi1ELi1ELi1EEENS2_INS_5relu_ENS2_IS6_NS2_IS8_NS_13add_tag_layerILm1ENS2_IS9_NS2_IS5_NS2_IS6_NS2_IS8_NS2_IS9_NS2_IS6_NS2_IS8_NSA_ILm1ENS2_IS9_NS2_INS3_INS_4tag2EEENS2_INS_9avg_pool_ILl2ELl2ELi2ELi2ELi0ELi0EEENS_14add_skip_layerIS4_NSA_ILm2ENS2_IS6_NS2_IS8_NS2_IS9_NS2_IS6_NS2_INS7_ILl128ELl3ELl3ELi2ELi2ELi0ELi0EEENSA_ILm1ENS2_IS9_NS2_IS5_NS2_IS6_NS2_INS7_ILl64ELl3ELl3ELi1ELi1ELi1ELi1EEENS2_IS9_NS2_IS6_NS2_ISH_NSA_ILm1ENS2_IS9_NS2_IS5_NS2_IS6_NS2_ISH_NS2_IS9_NS2_IS6_NS2_ISH_NSA_ILm1ENS2_IS9_NS2_IS5_NS2_IS6_NS2_ISH_NS2_IS9_NS2_IS6_NS2_ISH_NSA_ILm1ENS2_IS9_NS2_ISC_NS2_ISE_NSF_IS4_NSA_ILm2ENS2_IS6_NS2_ISH_NS2_IS9_NS2_IS6_NS2_INS7_ILl64ELl3ELl3ELi2ELi2ELi0ELi0EEENSA_ILm1ENS2_IS9_NS2_IS5_NS2_IS6_NS2_INS7_ILl32ELl3ELl3ELi1ELi1ELi1ELi1EEENS2_IS9_NS2_IS6_NS2_ISJ_NSA_ILm1ENS2_IS9_NS2_IS5_NS2_IS6_NS2_ISJ_NS2_IS9_NS2_IS6_NS2_ISJ_NSA_ILm1ENS2_IS9_NS2_IS5_NS2_IS6_NS2_ISJ_NS2_IS9_NS2_IS6_NS2_ISJ_NSA_ILm1ENS2_INS_9max_pool_ILl3ELl3ELi2ELi2ELi0ELi0EEENS2_IS9_NS2_IS6_NS2_INS7_ILl32ELl7ELl7ELi2ELi2ELi0ELi0EEENS_21input_rgb_image_sizedILm150ELm150EEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEEvEELb1EvEC1ERS35_j
  0.07     14.35     0.01                             dlib::matrix_op<dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > const dlib::trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >(dlib::matrix_exp<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > const&)
  0.07     14.36     0.01                             dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::matrix()
  0.07     14.37     0.01                             dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::operator()(long)
  0.07     14.38     0.01                             dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::~matrix()
  0.07     14.39     0.01                             dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::operator+=(dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const&)
  0.07     14.40     0.01                             dlib::simd8f::simd8f(dlib::simd8i const&)
  0.07     14.41     0.01                             dlib::simd8i::simd8i(dlib::simd8i::rawarray const&)
  0.07     14.42     0.01                             dlib::vector<double, 2l>::vector<dlib::matrix_add_exp<dlib::matrix_multiply_exp<dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >(dlib::matrix_exp<dlib::matrix_add_exp<dlib::matrix_multiply_exp<dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > const&)
  0.07     14.43     0.01                             dlib::array2d<dlib::matrix<float, 18l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::memory_manager_stateless_kernel_1<char> >::row::operator[](long)
  0.07     14.44     0.01                             dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> >::row::row(float*, long)
  0.07     14.45     0.01                             dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> >::row::operator[](long)
  0.07     14.46     0.01                             dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> >::operator[](long)
  0.07     14.47     0.01                             dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<64l, 3l, 3l, 1, 1, 1, 1>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::add_prev_<dlib::tag1>, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<64l, 3l, 3l, 1, 1, 1, 1>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<64l, 3l, 3l, 1, 1, 1, 1>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::add_prev_<dlib::tag1>, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<64l, 3l, 3l, 1, 1, 1, 1>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<64l, 3l, 3l, 1, 1, 1, 1>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::add_prev_<dlib::tag2>, dlib::add_layer<dlib::avg_pool_<2l, 2l, 2, 2, 0, 0>, dlib::add_skip_layer<dlib::tag1, dlib::add_tag_layer<2ul, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<64l, 3l, 3l, 1, 1, 1, 1>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<64l, 3l, 3l, 2, 2, 0, 0>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::add_prev_<dlib::tag1>, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::add_prev_<dlib::tag1>, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::add_prev_<dlib::tag1>, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::max_pool_<3l, 3l, 2, 2, 0, 0>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 7l, 7l, 2, 2, 0, 0>, dlib::input_rgb_image_sized<150ul, 150ul>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void> >, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>::subnet()
  0.07     14.48     0.01                             void dlib::add_prev_<dlib::tag1>::forward<dlib::dimpl::subnet_wrapper<dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::add_prev_<dlib::tag1>, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::max_pool_<3l, 3l, 2, 2, 0, 0>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 7l, 7l, 2, 2, 0, 0>, dlib::input_rgb_image_sized<150ul, 150ul>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, true, void> >(dlib::dimpl::subnet_wrapper<dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::add_prev_<dlib::tag1>, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::max_pool_<3l, 3l, 2, 2, 0, 0>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 7l, 7l, 2, 2, 0, 0>, dlib::input_rgb_image_sized<150ul, 150ul>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, void>, true, void> const&, dlib::resizable_tensor&)
  0.07     14.49     0.01                             void dlib::impl_fhog::set_hog<float, dlib::memory_manager_stateless_kernel_1<char>, dlib::memory_manager_stateless_kernel_1<char> >(dlib::array<dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> >, dlib::memory_manager_stateless_kernel_1<char> >&, int, int, int, float const&)
  0.07     14.50     0.01                             dlib::rgb_pixel::rgb_pixel()
  0.07     14.51     0.01                             dlib::operator/(dlib::simd8f const&, dlib::simd8f const&)
  0.07     14.52     0.01                             dlib::operator>(dlib::simd8i const&, dlib::simd8i const&)
  0.07     14.53     0.01                             dlib::operator<(dlib::simd4i const&, dlib::simd4i const&)
  0.07     14.54     0.01                             dlib::operator*=(dlib::simd8f&, dlib::simd8f const&)
  0.07     14.55     0.01                             dlib::operator-(dlib::simd8f const&, dlib::simd8f const&)
  0.07     14.56     0.01                             dlib::disable_if<dlib::is_matrix<double, void>, dlib::matrix_mul_scal_exp<dlib::matrix_add_exp<dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true>, dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true> >, true> const>::type dlib::operator*<dlib::matrix_add_exp<dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true>, dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true> >, double>(double const&, dlib::matrix_exp<dlib::matrix_add_exp<dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true>, dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true> > > const&)
  0.07     14.57     0.01                             dlib::disable_if<dlib::is_matrix<double, void>, dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true> const>::type dlib::operator*<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, double>(double const&, dlib::matrix_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > const&)
  0.07     14.58     0.01                             nlohmann::json_abi_v3_11_3::detail::input_stream_adapter::get_character()
  0.07     14.59     0.01                             nlohmann::json_abi_v3_11_3::detail::dtoa_impl::format_buffer(char*, int, int, int, int)
  0.07     14.60     0.01                             dlib::matrix_exp<dlib::matrix_add_exp<dlib::matrix_multiply_exp<dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::ref() const
  0.07     14.61     0.01                             dlib::matrix_exp<dlib::matrix_add_exp<dlib::matrix_multiply_exp<dlib::matrix<float, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >, dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::ref() const
  0.07     14.62     0.01                             dlib::matrix_exp<dlib::matrix_multiply_exp<dlib::matrix_op<dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::operator float const() const
  0.07     14.63     0.01                             dlib::matrix_exp<dlib::matrix_op<dlib::op_squared<dlib::matrix_subtract_exp<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > > >::nr() const
  0.07     14.64     0.01                             dlib::matrix_exp<dlib::matrix_op<dlib::op_squared<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > >::ref() const
  0.07     14.65     0.01                             dlib::float_details::operator float() const
  0.07     14.66     0.01                             dlib::matrix_add_exp<dlib::matrix_multiply_exp<dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >, dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >::operator()(long, long) const
  0.07     14.67     0.01                             dlib::const_image_view<dlib::const_sub_image_proxy<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::operator[](long) const
  0.07     14.68     0.01                             dlib::const_image_view<dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> > >::nr() const
  0.07     14.69     0.01                             dlib::row_major_layout::layout<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, 1>::operator()(unsigned long) const
  0.07     14.70     0.01                             dlib::row_major_layout::layout<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, 1>::operator()(unsigned long, unsigned long) const
  0.07     14.71     0.01                             dlib::row_major_layout::layout<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, 1>::operator()(unsigned long, unsigned long) const
  0.07     14.72     0.01                             dlib::row_major_layout::layout<float, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, 1>::operator()(unsigned long, unsigned long) const
  0.07     14.73     0.01                             dlib::matrix_mul_scal_exp<dlib::matrix<double, 3l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, true>::operator()(long, long) const
  0.07     14.74     0.01                             bool dlib::interpolate_bilinear::operator()<double, dlib::const_image_view<dlib::const_sub_image_proxy<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >, dlib::rgb_pixel>(dlib::const_image_view<dlib::const_sub_image_proxy<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > > const&, dlib::vector<double, 2l> const&, dlib::rgb_pixel&) const
  0.07     14.75     0.01                             void dlib::input_rgb_image_sized<150ul, 150ul>::to_tensor<dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const*>(dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const*, dlib::matrix<dlib::rgb_pixel, 0l, 0l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> const*, dlib::resizable_tensor&) const
  0.07     14.76     0.01                             dlib::point_transform_affine::operator()(dlib::vector<double, 2l> const&) const
  0.07     14.77     0.01                             dlib::impl::regression_tree::operator()(std::vector<float, std::allocator<float> > const&, unsigned long&) const
  0.07     14.78     0.01                             dlib::matrix<double, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::nc() const
  0.07     14.79     0.01                             dlib::matrix<double, 2l, 2l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>::operator()(long, long) const
  0.07     14.80     0.01                             dlib::array2d<dlib::matrix<float, 18l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::memory_manager_stateless_kernel_1<char> >::nc() const
  0.07     14.81     0.01                             dlib::op_trans<dlib::matrix<float, 2l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >::apply(long, long) const
  0.07     14.82     0.01                             dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::max_pool_<3l, 3l, 2, 2, 0, 0>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 7l, 7l, 2, 2, 0, 0>, dlib::input_rgb_image_sized<150ul, 150ul>, void>, void>, void>, void>, void>, void>, void>, void>, void>::sample_expansion_factor() const
  0.07     14.83     0.01                             dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 3l, 3l, 1, 1, 1, 1>, dlib::add_tag_layer<1ul, dlib::add_layer<dlib::max_pool_<3l, 3l, 2, 2, 0, 0>, dlib::add_layer<dlib::relu_, dlib::add_layer<dlib::affine_, dlib::add_layer<dlib::con_<32l, 7l, 7l, 2, 2, 0, 0>, dlib::input_rgb_image_sized<150ul, 150ul>, void>, void>, void>, void>, void>, void>, void>, void>, void>::subnet() const
  0.07     14.84     0.01                             dlib::add_layer<dlib::con_<32l, 7l, 7l, 2, 2, 0, 0>, dlib::input_rgb_image_sized<150ul, 150ul>, void>::subnet_wrapper::get_output() const
